    1    1    2   .1    1   .1    2    1    1    2    1   .3    3    1    1  .3x    1   .2    2    1
    1    1    1    1    3    1    1    1    2   .3    1    1    1    1    2    1    3    1    1    1
    1    1    1    2   .1    1    2    1    1    1    3    1   .2    1   .3    1    1    1  3.3    1
    1    2   .1    1    1    1    1    3   .2    1  .2x    1    3    1    3    1   .2    1    1    2
    1    1    3    1  .1x    3    1    1    1    1    1    2    1   .2    1    1    2    1   .3    1
    1    1    1    1    1    2   .1    1    3    1    1    1    1    2    1    1    1    1    2    1
    1    3   .1    3    1    1    1    1    1    1    2    1    1    1    1  3.2    1 3.2x    1    3
    1    1    1    1    1    3   .1    1  3.2    1   .3    1    2   .3    1    1    1    1    2    1
    1    1    1    3    1    1    1    2    1    1    1    3    1    1    3    1  2.3    1    1    1
    1    2    1    1    1 2.1x    1    1    3    1    1    1    3   .2    1    1    1    1  3.3    2
    1    3   .1    1    1    1    3    1    1    1    3    1    1    1    1    3    1    1    1    1
    1    3    3    1  3.1    1    1    1  2.2    1   .3    1    1 3.3x    1    1    1  2.2    1    1
